Date,PucksProduced,RollingAverage,Prediction
2/2/2021,91,91,0
2/3/2021,113,102,0
2/4/2021,120,108,0
2/5/2021,104,107,0
2/6/2021,125,110.6,0
2/7/2021,81,105.6666667,0
2/8/2021,105,105.5714286,0
2/9/2021,86,104.8571429,0
2/10/2021,85,100.8571429,0
2/11/2021,92,96.85714286,0
2/12/2021,92,95.14285714,0
2/13/2021,106,92.42857143,0
2/14/2021,124,98.57142857,0
2/15/2021,103,98.28571429,0
2/16/2021,130,104.5714286,0
2/17/2021,132,111.2857143,0
2/18/2021,85,110.2857143,0
2/19/2021,88,109.7142857,0
2/20/2021,98,108.5714286,0
2/21/2021,80,102.2857143,0
2/22/2021,87,100,0
2/23/2021,135,100.7142857,0
2/24/2021,80,93.28571429,0
2/25/2021,137,100.7142857,0
2/26/2021,83,100,0
2/27/2021,123,103.5714286,0
2/28/2021,139,112,0
3/1/2021,0,0,120.5777778
3/2/2021,0,0,123.2485958
3/3/2021,0,0,126.0775883
3/4/2021,0,0,129.0647552
3/5/2021,0,0,132.2100964
3/6/2021,0,0,135.5136121
3/7/2021,0,0,138.9753021
3/8/2021,0,0,142.5951665
